,model,mean,sd,ci_coh1,ci_coh2
0,deepsurv_autoencoder_final_cv_exprs_only,0.6187560563125731,0.1021346434822914,,
1,deepsurv_autoencoder_pData,0.5396623504066832,0.0512962185420055,0.6247341423745778,0.4312825221916131
2,deepsurv_result_common_genes,0.6862054161722423,0.0436655910990028,,
3,deepsurv_result_common_genes_and_pData,,,,
4,deepsurv_result_intersection,0.6805711780418419,0.0281848126286481,,
5,deepsurv_result_intersection_and_pData,,,,
6,deepsurv_result_pData_only,0.6676943124005682,0.0580735060933913,,
