,model,mean,sd,ci_coh1,ci_coh2
0,cboost_autoencoder_pData_paper,0.6710558105349256,0.0455845594665394,0.6629550856999875,0.6801346801346801
1,cboost_autoencoder_paper,0.6497361467167314,0.0856476543601846,0.7044914300012511,0.7985919804101622
2,cboost_common_genes_only,0.6556194639654779,0.0582602398175841,0.7348930314024772,0.8034894398530762
3,cboost_imp_pData,0.6737583738087483,0.0661022143488312,0.7416489428249718,0.8034894398530762
4,cboost_inter_only,0.6927967548953311,0.0614042082382887,0.7062429625922683,0.8135904499540864
5,cboost_pData,0.686910237858331,0.0861683307138717,0.6958588765169523,0.7745638200183654
6,cboost_really_intersect_pData,0.6673301212019005,0.0632700522450045,0.7366445639934943,0.8215488215488216
