,feature,value,model,dataset
13818,ENSG00000197081,0.37091081060213205,cBoost,Imputed
5507,ENSG00000130508,0.37015009010010685,cBoost,Imputed
7864,ENSG00000147724,0.3542703703743894,cBoost,Imputed
5005,ENSG00000125485,0.35301801458962623,cBoost,Imputed
7521,ENSG00000144810,0.3432501583728526,cBoost,Imputed
8921,ENSG00000158813,0.3378921656124794,cBoost,Imputed
11202,ENSG00000171396,0.3349997901208375,cBoost,Imputed
11530,ENSG00000173335,0.31360227914369615,cBoost,Imputed
5512,ENSG00000130522,0.3132030979925675,cBoost,Imputed
5040,ENSG00000125746,0.3078242217316479,cBoost,Imputed
1636,ENSG00000089057,0.30336455180931327,cBoost,Imputed
9555,ENSG00000163528,0.2922988159340576,cBoost,Imputed
6895,ENSG00000139687,0.2910408801894654,cBoost,Imputed
15251,ENSG00000272523,0.2891114985346528,cBoost,Imputed
1330,ENSG00000079482,0.28518680930471285,cBoost,Imputed
381,ENSG00000023445,0.28486948638526877,cBoost,Imputed
10199,ENSG00000166165,0.28272137134488456,cBoost,Imputed
6408,ENSG00000136717,0.2740958743522607,cBoost,Imputed
2126,ENSG00000100614,0.26977723448851887,cBoost,Imputed
11880,ENSG00000175906,0.255793696364588,cBoost,Imputed
1811,ENSG00000094804,0.25523852905294525,cBoost,Imputed
2382,ENSG00000102239,0.25325218520405796,cBoost,Imputed
648,ENSG00000053918,0.2451129642499278,cBoost,Imputed
6270,ENSG00000135900,0.2434177284933525,cBoost,Imputed
14343,ENSG00000204469,0.23602333090134245,cBoost,Imputed
6257,ENSG00000135823,0.23232793238705876,cBoost,Imputed
11497,ENSG00000173156,0.2258768623377773,cBoost,Imputed
697,ENSG00000057294,0.22214508398828636,cBoost,Imputed
6460,ENSG00000136932,0.21838558044575343,cBoost,Imputed
7178,ENSG00000142188,0.21770948833308534,cBoost,Imputed
9272,ENSG00000162267,0.21629441816773665,cBoost,Imputed
12451,ENSG00000180900,0.20818771592049692,cBoost,Imputed
12139,ENSG00000178172,0.20047928286473488,cBoost,Imputed
10905,ENSG00000169740,0.19965764327638624,cBoost,Imputed
1515,ENSG00000085831,0.19877586306113842,cBoost,Imputed
4617,ENSG00000121807,0.19507046181243254,cBoost,Imputed
548,ENSG00000046651,0.19313009164823927,cBoost,Imputed
7656,ENSG00000145919,0.18986895834823478,cBoost,Imputed
6818,ENSG00000139178,0.18470279193791858,cBoost,Imputed
9148,ENSG00000160877,0.18372012472511587,cBoost,Imputed
14799,ENSG00000231419,0.17480191897689082,cBoost,Imputed
14224,ENSG00000198934,0.17215824023324816,cBoost,Imputed
14684,ENSG00000221855,0.17126546059593178,cBoost,Imputed
1257,ENSG00000077463,0.16944599837149896,cBoost,Imputed
3475,ENSG00000111665,0.16416023142136885,cBoost,Imputed
9830,ENSG00000164404,0.1615106022232207,cBoost,Imputed
8381,ENSG00000153162,0.15559302420208865,cBoost,Imputed
11309,ENSG00000171873,0.15143349773522632,cBoost,Imputed
8631,ENSG00000155961,0.15142481669863886,cBoost,Imputed
14905,ENSG00000239810,0.15115580800604866,cBoost,Imputed
13765,ENSG00000196792,0.1486026537830655,cBoost,Imputed
9438,ENSG00000163012,0.13591043587176774,cBoost,Imputed
10390,ENSG00000167074,0.13467476469831452,cBoost,Imputed
5100,ENSG00000125995,0.13244415979235077,cBoost,Imputed
14302,ENSG00000204147,0.12759706358226533,cBoost,Imputed
1760,ENSG00000091879,0.12174940185784415,cBoost,Imputed
11661,ENSG00000174326,0.11930430191694842,cBoost,Imputed
4151,ENSG00000117013,0.10730913859596362,cBoost,Imputed
6677,ENSG00000138162,0.10285549227133667,cBoost,Imputed
787,ENSG00000064102,0.07745595888874096,cBoost,Imputed
6591,ENSG00000137764,0.07587524867671233,cBoost,Imputed
10466,ENSG00000167522,0.0731393977023665,cBoost,Imputed
10567,ENSG00000167925,0.07148646173008612,cBoost,Imputed
15326,ENSG00000068985,0.06390508256401319,cBoost,Imputed
9,ENSG00000001167,0.058942612486541486,cBoost,Imputed
13829,ENSG00000197128,0.05406970846523457,cBoost,Imputed
15276,ENSG00000275052,0.052680459621470936,cBoost,Imputed
14100,ENSG00000198585,0.051024948546753296,cBoost,Imputed
13820,ENSG00000197102,0.040413249914916606,cBoost,Imputed
13850,ENSG00000197261,0.03757024595365812,cBoost,Imputed
931,ENSG00000067900,0.017313272145085733,cBoost,Imputed
13072,ENSG00000185324,0.005824688287240765,cBoost,Imputed
2,GLEASON_SCORE,2.787274910771867,cBoost,pData_Imputed
5687,ENSG00000131747,2.350688235554749,cBoost,pData_Imputed
3720,ENSG00000113448,2.2806518372624383,cBoost,pData_Imputed
1144,ENSG00000074181,2.069206378384654,cBoost,pData_Imputed
5377,ENSG00000129173,1.8551049966188555,cBoost,pData_Imputed
619,ENSG00000050555,1.794904654700703,cBoost,pData_Imputed
3208,ENSG00000108924,1.7689987627101156,cBoost,pData_Imputed
10696,ENSG00000168542,1.5474964682996115,cBoost,pData_Imputed
4241,ENSG00000117724,1.5300025529276482,cBoost,pData_Imputed
7625,ENSG00000145721,1.4619390460295636,cBoost,pData_Imputed
13471,ENSG00000188322,1.4536045184071291,cBoost,pData_Imputed
2815,ENSG00000105664,1.3657619598069515,cBoost,pData_Imputed
