"","feature","value","dataset","model_class"
"98","ENSG00000090054",2.97308087628956e-05,"Intersection","RSF"
"99","ENSG00000090273",0.000182632110972358,"Intersection","RSF"
"100","ENSG00000090470",4.24725839465179e-06,"Intersection","RSF"
"101","ENSG00000091106",2.97308087628956e-05,"Intersection","RSF"
"102","ENSG00000091137",4.67198423417248e-05,"Intersection","RSF"
"103","ENSG00000091542",0.000157148560604115,"Intersection","RSF"
"104","ENSG00000092010",0.000543649074522312,"Intersection","RSF"
"105","ENSG00000092820",1.69890335788292e-05,"Intersection","RSF"
"106","ENSG00000092841",7.64506511046203e-05,"Intersection","RSF"
"107","ENSG00000095015",5.52143591311394e-05,"Intersection","RSF"
"108","ENSG00000095752",0.000152901302209352,"Intersection","RSF"
"109","ENSG00000095981",7.64506511046203e-05,"Intersection","RSF"
"110","ENSG00000096060",3.82253255523102e-05,"Intersection","RSF"
"111","ENSG00000096696",5.09671007363766e-05,"Intersection","RSF"
"112","ENSG00000099331",1.27417751840664e-05,"Intersection","RSF"
"113","ENSG00000099834",0.000135912268630523,"Intersection","RSF"
"114","ENSG00000099960",0.000530907299338246,"Intersection","RSF"
"115","ENSG00000099995",1.69890335788292e-05,"Intersection","RSF"
"116","ENSG00000100068",0.000479940198601758,"Intersection","RSF"
"117","ENSG00000100095",0.000344027929971125,"Intersection","RSF"
"118","ENSG00000100226",0.000373758738734131,"Intersection","RSF"
"119","ENSG00000100234",5.52143591311394e-05,"Intersection","RSF"
"120","ENSG00000100290",4.24725839465179e-06,"Intersection","RSF"
"121","ENSG00000100299",0.00154600205567301,"Intersection","RSF"
"122","ENSG00000100417",4.24725839465179e-06,"Intersection","RSF"
"123","ENSG00000100439",0.000237846470103498,"Intersection","RSF"
"124","ENSG00000100575",0.000110428718262279,"Intersection","RSF"
"125","ENSG00000100612",0.000169890335788181,"Intersection","RSF"
"126","ENSG00000100628",4.2472583946962e-05,"Intersection","RSF"
"127","ENSG00000100678",0.000123170493446456,"Intersection","RSF"
"128","ENSG00000100804",8.4945167894146e-06,"Intersection","RSF"
"129","ENSG00000100902",0.000437467614654685,"Intersection","RSF"
"130","ENSG00000101096",5.09671007363766e-05,"Intersection","RSF"
"131","ENSG00000101098",9.76869430782124e-05,"Intersection","RSF"
"132","ENSG00000101115",0.000165643077393529,"Intersection","RSF"
"133","ENSG00000101194",0.000386500513918198,"Intersection","RSF"
"134","ENSG00000101203",0.000114675976657042,"Intersection","RSF"
"135","ENSG00000101282",0.00136336994470065,"Intersection","RSF"
"136","ENSG00000101337",0.00172863416664537,"Intersection","RSF"
"137","ENSG00000101546",7.64506511046203e-05,"Intersection","RSF"
"138","ENSG00000101751",2.54835503682438e-05,"Intersection","RSF"
"139","ENSG00000101916",1.27417751840664e-05,"Intersection","RSF"
"140","ENSG00000102034",7.64506511046203e-05,"Intersection","RSF"
"141","ENSG00000102054",3.39780671575474e-05,"Intersection","RSF"
"142","ENSG00000102239",7.22033927099686e-05,"Intersection","RSF"
"143","ENSG00000102245",0.00040773680589179,"Intersection","RSF"
"144","ENSG00000102362",0.000237846470103498,"Intersection","RSF"
"145","ENSG00000102575",0.000165643077393529,"Intersection","RSF"
"146","ENSG00000102753",0.000152901302209352,"Intersection","RSF"
"147","ENSG00000102781",0.000250588245287564,"Intersection","RSF"
"148","ENSG00000102931",0.000127417751841108,"Intersection","RSF"
"149","ENSG00000102970",5.09671007363766e-05,"Intersection","RSF"
"150","ENSG00000103194",9.76869430782124e-05,"Intersection","RSF"
"151","ENSG00000103260",0.000259082762076979,"Intersection","RSF"
"152","ENSG00000103423",0.000254835503682327,"Intersection","RSF"
"153","ENSG00000103429",0.000123170493446456,"Intersection","RSF"
"154","ENSG00000103489",0.0007432702190735,"Intersection","RSF"
"155","ENSG00000103522",0.000157148560604115,"Intersection","RSF"
"156","ENSG00000103569",9.34396846834495e-05,"Intersection","RSF"
"157","ENSG00000103671",4.24725839465179e-06,"Intersection","RSF"
"158","ENSG00000104375",0.000229351953314083,"Intersection","RSF"
"159","ENSG00000104499",0.000271824537261156,"Intersection","RSF"
"160","ENSG00000104549",0.000152901302209352,"Intersection","RSF"
"161","ENSG00000104731",2.1236291973481e-05,"Intersection","RSF"
"162","ENSG00000104738",0.000169890335788181,"Intersection","RSF"
"163","ENSG00000104804",7.64506511046203e-05,"Intersection","RSF"
"164","ENSG00000104823",0.000310049862813466,"Intersection","RSF"
