"","feature","values","dataset","model"
"80","ENSG00000088325",0.0579509592987016,"Intersection","pen_cox"
"81","ENSG00000104738",0.00371288626489345,"Intersection","pen_cox"
"82","ENSG00000105664",0.00417411351012533,"Intersection","pen_cox"
"83","ENSG00000108821",0.0373366213456721,"Intersection","pen_cox"
"84","ENSG00000119681",0.0197309118258845,"Intersection","pen_cox"
"85","ENSG00000122641",0.0370288084688747,"Intersection","pen_cox"
"86","ENSG00000137507",0.0509289048441627,"Intersection","pen_cox"
"87","ENSG00000137809",0.0167198914251876,"Intersection","pen_cox"
"88","ENSG00000141756",0.0148998241573987,"Intersection","pen_cox"
"89","ENSG00000153162",0.0199239926611732,"Intersection","pen_cox"
"90","ENSG00000160207",0.0169215668337127,"Intersection","pen_cox"
"91","ENSG00000160781",0.00824665629702745,"Intersection","pen_cox"
"92","ENSG00000169180",0.0454874110481678,"Intersection","pen_cox"
"93","ENSG00000172500",0.0562469777927664,"Intersection","pen_cox"
"94","ENSG00000175063",0.0476400858377271,"Intersection","pen_cox"
"95","ENSG00000183309",0.0643913352682688,"Intersection","pen_cox"
"96","ENSG00000186871",0.0308062945178287,"Intersection","pen_cox"
"97","GLEASON_SCORE",0.167941104639534,"pData_Intersection","pen_cox"
"98","PRE_OPERATIVE_PSA",0.0743958199929485,"pData_Intersection","pen_cox"
"99","ENSG00000050555",0.0398446176078535,"pData_Intersection","pen_cox"
"100","ENSG00000078098",0.00132379021824925,"pData_Intersection","pen_cox"
"101","ENSG00000086991",0.0225845358076893,"pData_Intersection","pen_cox"
"102","ENSG00000087586",0.00186831280228465,"pData_Intersection","pen_cox"
"103","ENSG00000088325",0.0430305164106673,"pData_Intersection","pen_cox"
"104","ENSG00000104738",0.0172026459601875,"pData_Intersection","pen_cox"
"105","ENSG00000105664",0.0116440810565097,"pData_Intersection","pen_cox"
"106","ENSG00000108821",0.019030671798815,"pData_Intersection","pen_cox"
"107","ENSG00000119681",0.0304450088745138,"pData_Intersection","pen_cox"
"108","ENSG00000122641",0.00428544877822386,"pData_Intersection","pen_cox"
"109","ENSG00000137507",0.0517514279934375,"pData_Intersection","pen_cox"
"110","ENSG00000141756",0.0178242833159328,"pData_Intersection","pen_cox"
"111","ENSG00000153162",0.0266034096589736,"pData_Intersection","pen_cox"
"112","ENSG00000160207",0.0158079293969981,"pData_Intersection","pen_cox"
"113","ENSG00000160781",0.0047083349198957,"pData_Intersection","pen_cox"
"114","ENSG00000169180",0.0265506753316701,"pData_Intersection","pen_cox"
"115","ENSG00000172500",0.0609983034750308,"pData_Intersection","pen_cox"
"116","ENSG00000175063",0.0416631874136329,"pData_Intersection","pen_cox"
"117","ENSG00000181544",0.00182774033378057,"pData_Intersection","pen_cox"
"118","ENSG00000183309",0.0565628748366572,"pData_Intersection","pen_cox"
"119","ENSG00000184162",0.000623508450250352,"pData_Intersection","pen_cox"
"120","ENSG00000186871",0.0317549463965317,"pData_Intersection","pen_cox"
"121","GLEASON_SCORE",0.402624981207584,"pData","pen_cox"
"122","PRE_OPERATIVE_PSA",0.139577583234474,"pData","pen_cox"
"123","TISSUE.Snap_frozen",0.128037796511557,"pData","pen_cox"
